,character,voice-actor,movie_title,ActorPop
601,Quasimodo,Tom Hulce,The Hunchback of Notre Dame,7.815
602,Achilles,None,The Hunchback of Notre Dame,0.6
603,The Archdeacon,David Ogden Stiers,The Hunchback of Notre Dame,5.256
604,Hugo,Jason Alexander,The Hunchback of Notre Dame,13.249
605,Esmeralda,Demi Moore,The Hunchback of Notre Dame,10.201
606,Judge Claude Frollo,Tony Jay,The Hunchback of Notre Dame,5.215
607,Djali,None,The Hunchback of Notre Dame,0.6
608,Captain Phoebus,Kevin Kline,The Hunchback of Notre Dame,8.644
609,Clopin Trouillefou,Paul Kandel,The Hunchback of Notre Dame,1.116
610,Victor,Charles Kimbrough,The Hunchback of Notre Dame,3.138
611,Laverne,Mary Wickes,The Hunchback of Notre Dame,3.612
612,Sarousch,Michael McKean,The Hunchback of Notre Dame II,10.356
613,Zephyr,Haley Joel Osment,The Hunchback of Notre Dame II,15.434
614,Madellaine,Jennifer Love Hewitt,The Hunchback of Notre Dame II,5.332
615,Lady DeBurne,April Winchell,The Hunchback of Notre Dame II,5.382
616,Bent-Tail the Coyote,Unknown,The Legend of Coyote Rock,1.62
617,Timon's Mother,Julie Kavner,The Lion King 1½,11.799
618,Uncle Max,Jerry Stiller,The Lion King 1½,7.231
619,Vitani,Lacey Chabert; Jennifer Lien,The Lion King II: Simba's Pride,8.236
620,Zira,Suzanne Pleshette,The Lion King II: Simba's Pride,8.037
621,Nuka,Andy Dick,The Lion King II: Simba's Pride,3.58
622,Kovu,Ryan O'Donohue; Jason Marsden,The Lion King II: Simba's Pride,5.069
623,Kiara,Michelle Horn; Neve Campbell,The Lion King II: Simba's Pride,11.081
624,Chef Louis,Rene Auberjonois,The Little Mermaid,2.814
625,Flotsam and Jetsam,Paddi Edwards,The Little Mermaid,1.725
626,Flounder,Jason Marin,The Little Mermaid,3.161
627,Carlotta the Maid,Edie McClurg,The Little Mermaid,10.005
628,King Triton,Kenneth Mars,The Little Mermaid,3.587
629,Sebastian,Samuel E. Wright,The Little Mermaid,2.383
630,Scuttle,Buddy Hackett,The Little Mermaid,5.101
631,Ursula,Pat Carroll,The Little Mermaid,4.526
632,Vanessa (The Little Mermaid),Pat Carroll; Jodi Benson,The Little Mermaid,4.874499999999999
633,Attina,Kari Wahlgren,The Little Mermaid,5.183
634,Max the Sheepdog,Frank Welker,The Little Mermaid,13.151
635,Ariel,Jodi Benson,The Little Mermaid,5.223
636,Harold the Seahorse,Will Ryan,The Little Mermaid,1.893
637,Adella,Sherry Lynn,The Little Mermaid,5.229
638,Alana,Kimmy Robertson,The Little Mermaid,5.853
639,Aquata,Grey DeLisle; Mona Marshall,The Little Mermaid,11.031
640,Prince Eric,Christopher Daniel Barnes,The Little Mermaid,2.041
641,Andrina,Tara Strong,The Little Mermaid,14.092
642,Grimsby,Ben Wright,The Little Mermaid,2.559
643,Arista,Kimmy Robertson,The Little Mermaid,5.853
644,Dash,Stephen Furst,The Little Mermaid II: Return to the Sea,1.973
645,Tip,Max Casella,The Little Mermaid II: Return to the Sea,7.888
646,Melody,Tara Strong,The Little Mermaid II: Return to the Sea,14.092
647,Morgana,Pat Carroll,The Little Mermaid II: Return to the Sea,4.526
648,Cloak and Dagger,None,The Little Mermaid II: Return to the Sea,0.6
649,Queen Athena,Lorelei Hill Butters,The Little Mermaid: Ariel's Beginning,1.96
650,Zarina,Christina Hendricks,The Pirate Fairy,14.064
651,Horace Horsecollar,Walt Disney; Bill Farmer,The Plow Boy,6.9375
652,Lil Bad Wolf,Andrew Lawrence,The Porker's Court,9.701
653,Dr. Facilier,Keith David,The Princess and the Frog,9.987
654,Cousin Randy,Randy Newman,The Princess and the Frog,0.992
655,Harvey Fenner,Corey Burton,The Princess and the Frog,4.803
656,Charlotte La Bouff,Jennifer Cody,The Princess and the Frog,2.989
657,Buford the Cook,Michael Colyar,The Princess and the Frog,0.608
658,Tiana,Anika Noni Rose,The Princess and the Frog,10.962
659,Louis the Alligator,Michael-Leon Wooley,The Princess and the Frog,1.894
660,Eudora,Oprah Winfrey,The Princess and the Frog,7.288
661,Mama Odie,Jenifer Lewis,The Princess and the Frog,4.704
662,Two Fingers,Paul Briggs,The Princess and the Frog,0.6
663,Marlon the Alligator,Emeril Lagasse,The Princess and the Frog,1.189
664,Henry Fenner,Jerry Kernion,The Princess and the Frog,3.081
665,Evangaline,None,The Princess and the Frog,0.6
666,Lawrence the Valet,Peter Bartlett,The Princess and the Frog,1.4
667,Ray the Firefly,Jim Cummings,The Princess and the Frog,7.113
668,Prince Naveen,Bruno Campos,The Princess and the Frog,1.96
669,Ian the Alligator,Kevin Michael Richardson,The Princess and the Frog,8.038
670,"Eli ""Big Daddy"" La Bouff",John Goodman,The Princess and the Frog,18.683
671,Sir Giles,Claud Allister,The Reluctant Dragon,1.971
672,Tobias the Reluctant Dragon,Barnett Parker,The Reluctant Dragon,0.84
673,Digger the Mole,Dub Taylor,The Rescuers,7.313
674,Penny,Michelle Stacy,The Rescuers,8.952
675,Miss Bianca,Eva Gabor,The Rescuers,1.76
676,Chair Mouse,Bernard Fox,The Rescuers,2.864
677,Gramps,Larry Clemmons,The Rescuers,1.025
678,Orville,Jim Jordan,The Rescuers,0.766
679,Evinrude,Jimmy MacDonald,The Rescuers,0.6
680,Brutus and Nero,Candy Candido,The Rescuers,1.176
681,Luke,Pat Buttram,The Rescuers,4.754
682,Rufus,John McIntire,The Rescuers,7.922
683,Bernard,Bob Newheart,The Rescuers,
684,Ellie Mae,Jeanette Nolan,The Rescuers,6.049
685,Mr. Snoops,Joe Flynn,The Rescuers,4.043
686,Madame Medusa,Geraldine Page,The Rescuers,1.744
687,Nurse Mouse,Russi Taylor,The Rescuers Down Under,4.385
688,Wilbur,John Candy,The Rescuers Down Under,11.59
689,Krebbs,Douglas Seale,The Rescuers Down Under,1.948
690,Cody,Adam Ryen,The Rescuers Down Under,2.115
691,Marahute,Frank Welker,The Rescuers Down Under,13.151
692,Doctor Mouse,Bernard Fox,The Rescuers Down Under,2.864
693,Percival C. McLeach,George C. Scott,The Rescuers Down Under,9.196
694,Jake,Tristan Rogers,The Rescuers Down Under,0.652
695,Francois,Ed Gilbert,The Rescuers Down Under,3.861
696,Faloo,Carla Meyer,The Rescuers Down Under,0.84
697,Red,Peter Firth,The Rescuers Down Under,10.086
698,Frank,Wayne Robson,The Rescuers Down Under,2.921
699,Abis Mal,Jason Alexander,The Return of Jafar,13.249
700,Dinah the Dachshund,None,The Sleepwalker,0.6
701,Arthur/Wart,Richard Reitherman,The Sword in the Stone,0.84
702,Black Bart,Thurl Ravenscroft,The Sword in the Stone,1.945
703,Arthur/Wart,Rickie Sorensen,The Sword in the Stone,2.575
704,Merlin,Karl Swenson,The Sword in the Stone,5.372
705,Arthur/Wart,Robert Reitherman,The Sword in the Stone,0.98
706,Madam Mim,Martha Wentworth,The Sword in the Stone,4.371
707,Sir Ector,Sebastian Cabot,The Sword in the Stone,5.51
708,Sir Kay,Norman Alden,The Sword in the Stone,2.947
709,Archimedes,Junius Matthews,The Sword in the Stone,3.735
710,Sir Pellinore,Alan Napier,The Sword in the Stone,11.177
711,Panchito Pistoles,Joaquin Garay; Carlos Alazraqui,The Three Caballeros,5.424
712,Aracuan Bird,Pinto Colvig,The Three Caballeros,2.695
713,Toby Tortoise,Eddie Holden,The Tortoise and the Hare,1.62
714,Max Hare,Ned Norton,The Tortoise and the Hare,2.716
715,Tino Tonitini,Jason Marsden,The Weekenders,6.969
716,Peter Pig,Pinto Colvig,The Wise Little Hen,2.695
717,Donald Duck,Clarence Nash; Tony Anselmo,The Wise Little Hen,9.2975
718,Grandma Duck,June Foray,"This is Your Life, Donald Duck",3.5
719,Big Bad Wolf,Billy Bletcher,Three Little Pigs,1.646
720,Practical Pig,Pinto Colvig,Three Little Pigs,2.695
721,Fifer Pig,Dorothy Compton,Three Little Pigs,1.566
722,Fiddler Pig,Mary Moder,Three Little Pigs,1.466
723,Quint,Corey Burton,Timon and Pumbaa,4.803
724,Natives,Jeff Bennett,Timon and Pumbaa,10.222
725,Vulture Police,Townsend Coleman; Brian Cummings,Timon and Pumbaa,1.418
726,Boss Beaver,Brad Garrett,Timon and Pumbaa,8.553
727,Fred,S. Scott Bullock,Timon and Pumbaa,0.84
728,Smolder the Bear,Jim Cummings,Timon and Pumbaa,7.113
729,Cheetata and Cheetato,Rob Paulsen; Jim Cummings,Timon and Pumbaa,6.300000000000001
730,Speedy the Snail,Corey Burton,Timon and Pumbaa,4.803
731,Lizzy Griffths,Lauren Mote,Tinker Bell and the Great Fairy Rescue,0.6
732,Blaze,None,Tinker Bell and the Lost Treasure,0.6
733,Captain Amelia,Emma Thompson,Treasure Planet,32.847
734,Jim Hawkins,Joseph Gordon-Levitt,Treasure Planet,10.415
735,Mr. Arrow,Roscoe Lee Browne,Treasure Planet,2.865
736,Scroop,Michael Wincott,Treasure Planet,8.532
737,Dr. Doppler,David Hyde Pierce,Treasure Planet,4.97
738,John Silver,Brian Murray,Treasure Planet,1.96
739,Sarah Hawkins,Laurie Metcalf,Treasure Planet,10.887
740,B.E.N.,Martin Short,Treasure Planet,7.396
741,Hands,Micheal McShane,Treasure Planet,4.201
742,Billy Bones,Patrick McGoohan,Treasure Planet,11.465
743,Morph,Dane A. Davis,Treasure Planet,1.1
744,Onus,Corey Burton,Treasure Planet,4.803
745,Oswald the Lucky Rabbit,Frank Welker,Trolley Troubles,13.151
746,Wheezy the Weasel,June Foray,Who Framed Roger Rabbit,3.5
747,Greasy the Weasel,Charles Fleischer,Who Framed Roger Rabbit,3.181
748,Jessica Rabbit,Kathleen Turner,Who Framed Roger Rabbit,11.012
749,Psycho the Weasel,Charles Fleischer,Who Framed Roger Rabbit,3.181
750,Benny the Cab,Charles Fleischer,Who Framed Roger Rabbit,3.181
751,Baby Herman,Lou Hirsch,Who Framed Roger Rabbit,2.588
752,Baby Herman,April Winchell,Who Framed Roger Rabbit,5.382
753,Roger Rabbit,Charles Fleischer,Who Framed Roger Rabbit,3.181
754,Smarty the Weasel,David Lander,Who Framed Roger Rabbit,0.6
755,Judge Doom,Christopher Lloyd,Who Framed Roger Rabbit,21.031
756,Stupid the Weasel,Fred Newman,Who Framed Roger Rabbit,1.96
757,Tigger,Paul Winchell,Winnie the Pooh and the Blustery Day,2.873
758,Piglet,John Fiedler,Winnie the Pooh and the Blustery Day,8.575
759,Winnie the Pooh,Sterling Holloway,Winnie the Pooh and the Honey Tree,6.789
760,Roo,Clint Howard,Winnie the Pooh and the Honey Tree,9.282
761,Roo,Dori Whittaker,Winnie the Pooh and the Honey Tree,
762,Kanga,Barbara Luddy,Winnie the Pooh and the Honey Tree,1.445
763,Owl,Hal Smith,Winnie the Pooh and the Honey Tree,6.457
764,Gopher,Howard Morris; Michael Gough,Winnie the Pooh and the Honey Tree,4.1455
765,Rabbit,Junius Matthews,Winnie the Pooh and the Honey Tree,3.735
766,Christopher Robin,Bruce Reitherman,Winnie the Pooh and the Honey Tree,0.979
767,Eeyore,Ralph Wright,Winnie the Pooh and the Honey Tree,2.159
768,Wynchel,Adam Carolla,Wreck-It Ralph,2.838
769,Adorabeezle Winterpop,None,Wreck-It Ralph,0.6
770,Sergeant Calhoun,Jane Lynch,Wreck-It Ralph,10.267
771,King Candy/Turbo,Alan Tudyk,Wreck-It Ralph,8.131
772,Snowanna Rainbeau,None,Wreck-It Ralph,0.6
773,Sour Bill,Rich Moore,Wreck-It Ralph,5.062
774,Minty Zaki,None,Wreck-It Ralph,0.6
775,Duncan,Horatio Sanz,Wreck-It Ralph,5.191
776,Wreck-It Ralph,John C. Reilly,Wreck-It Ralph,6.329
777,Crumbelina DiCaramello,Cymbre Walk,Wreck-It Ralph,1.4
778,Jubileena Bing-Bing,Josie Trinidad,Wreck-It Ralph,6.51
779,Gloyd Orangeboar,None,Wreck-It Ralph,0.6
780,Rancis Fluggerbutter,Jamie Elman,Wreck-It Ralph,1.307
781,"Swizzle ""The Swizz"" Malarkey",None,Wreck-It Ralph,0.6
782,Taffyta Muttonfudge,Mindy Kaling,Wreck-It Ralph,7.646
783,Fix-It Felix Jr.,Jack McBrayer,Wreck-It Ralph,11.225
784,Mr. Litwak,Ed O'Neill,Wreck-It Ralph,7.44
785,Candlehead,Katie Lowes,Wreck-It Ralph,3.626
786,Markowski,Joe Lo Truglio,Wreck-It Ralph,5.198
787,General Hologram,Dennis Haysbert,Wreck-It Ralph,10.166
788,Vanellope von Schweetz,Sarah Silverman,Wreck-It Ralph,4.913
789,Duke Weaselton,Alan Tudyk,Zootopia,8.131
790,Pronk Oryx-Antlerson,Jared Bush,Zootopia,3.419
791,Chief Bogo,Idris Elba,Zootopia,27.334
792,Bucky Oryx-Antlerson,Byron Howard,Zootopia,5.088
793,Bonnie Hopps,Bonnie Hunt,Zootopia,8.071
794,Mrs. Otterton,Octavia Spencer,Zootopia,10.038
795,Mr. Big,Maurice LaMarche,Zootopia,3.858
796,Yax,Tommy Chong,Zootopia,4.132
797,Judy Hopps,Ginnifer Goodwin,Zootopia,9.622
798,Woolter the Ram,John DiMaggio,Zootopia,4.038
799,Doug Ramses,Rich Moore,Zootopia,5.062
800,Emmitt Otterton,None,Zootopia,0.6
801,Jesse the Ram,John DiMaggio,Zootopia,4.038
802,Jerry Jumbeaux Jr.,John DiMaggio,Zootopia,4.038
803,Mayor Lionheart,J.K. Simmons,Zootopia,21.258
804,Flash Slothmore,Raymond S. Persi,Zootopia,1.868
805,"Nicholas ""Nick"" P. Wilde",Jason Bateman,Zootopia,16.141
806,Stu Hopps,Don Lake,Zootopia,6.356
807,Finnick,"Tommy ""Tiny"" Lister Jr.",Zootopia,
808,Assistant Mayor Dawn Bellwether,Jenny Slate,Zootopia,27.587
809,Benjamin Clawhauser,Nate Torrence,Zootopia,7.679
810,Gazelle,Shakira,Zootopia,5.1
