name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime
Bears,2014.295890410959,18346024.0,1.121,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,18,2,0.0,78.0
Passed Away,1992.3123287671235,8187848.0,1.045,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,24,2,0.0,96.0
ESPN's Ultimate X - The Movie,2002.3561643835617,6089874.0,3.075,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,10,2,,
Atlantis: The Lost Empire,2001.4328767123288,125188122.0,1.646,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,8,2,120000000.0,95.0
Ernest Goes to Camp,1987.3890410958904,50686462.0,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,22,2,3000000.0,92.0
Teacher's Pet: The Movie,2004.0438356164384,8812764.0,3.075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,1,,
Spy Hard,1996.3945205479447,51373912.0,0.607,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,24,2,18000000.0,81.0
Snow Dogs,2002.049315068493,117745317.0,3.321,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18,1,35000000.0,99.0
Frankenweenie,2012.7534246575344,37363513.0,11.195,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5,4,39000000.0,87.0
Tuck Everlasting,2002.7698630136983,27789959.0,0.817,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,11,4,15000000.0,90.0
Hauru no ugoku shiro,2005.4383561643835,6194870.0,3.075,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,10,2,,
Gedo Senki (Tales from Earthsea),2010.6109589041096,51988.0,3.075,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,13,3,,
Return to Oz,1985.468493150685,25215934.0,4.617,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,2,25000000.0,109.0
Disney's A Christmas Carol,2009.838356164384,154927105.0,3.075,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,6,4,0.0,64.0
Prefontaine,1997.0657534246573,1085093.0,1.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,24,1,8000000.0,106.0
Beaches,1988.9616438356163,120381757.0,3.482,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,12,21,4,20000000.0,123.0
101 Dalmatians,1961.0684931506848,1362870985.0,4.694,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25,1,4000000.0,79.0
The Last Song,2010.2493150684927,67258772.0,0.941,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,31,1,20000000.0,107.0
Father Hood,1993.6493150684933,6654819.0,2.027,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,27,3,0.0,95.0
Encino Man,1992.3890410958904,81369058.0,1.883,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,22,2,7000000.0,88.0
Sweet Home Alabama,2002.731506849315,184521151.0,1.735,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,27,3,30000000.0,108.0
Play it to the Bone,1999.9698630136984,13180524.0,3.872,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,24,4,24000000.0,124.0
The Odd Life of Timothy Green,2012.6164383561645,54914942.0,1.204,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,15,3,25000000.0,105.0
Honey I Blew Up the Kid,1992.5397260273971,119162518.0,3.327,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,17,3,40000000.0,89.0
Hercules,1997.4465753424656,182029412.0,3.642,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,13,2,85000000.0,93.0
