name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime
Mr. Wrong,1996.1260273972605,24422334.0,12.933,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,16,1,0.0,96.0
Nixon,1995.958904109589,26302005.0,8.378,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,20,4,44000000.0,192.0
The Ref,1994.1890410958904,23401275.0,4.088,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,9,1,11000000.0,97.0
The Santa Clause 3: The Escape Clause,2006.830136986301,108694869.0,4.909,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,3,4,12000000.0,91.0
Ice Princess,2005.213698630137,32064685.0,0.707,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,18,1,25000000.0,98.0
King Arthur,2004.5123287671236,70423706.0,5.435,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,3,120000000.0,126.0
Nothing To Lose,1997.5424657534247,81692095.0,7.125,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,18,3,25000000.0,97.0
Herbie: Fully Loaded,2005.4712328767123,86812798.0,1.972,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,22,2,50000000.0,100.0
Father of the Bride,1991.958904109589,179821881.0,5.605,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,20,4,20000000.0,105.0
You Again,2010.7232876712328,27461121.0,1.872,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,24,3,20000000.0,105.0
Treasure Planet,2002.8958904109588,55189145.0,4.14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,27,4,140000000.0,95.0
The Great Mouse Detective,1986.4986301369863,53637367.0,3.642,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,3,14000000.0,74.0
Cinderella,2015.2,201151353.0,17.719,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,13,1,95000000.0,105.0
Frozen,2013.8821917808216,414997174.0,1.22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,22,4,150000000.0,102.0
Pirates of the Caribbean: On Stranger…,2011.383561643836,256263359.0,3.533,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,20,2,380000000.0,137.0
Zokkomon,2011.3068493150688,2984.0,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,22,2,0.0,109.0
Gross Anatomy,1989.7945205479448,23972012.0,1.608,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,20,4,8500000.0,109.0
The Incredibles,2004.835616438356,354488708.0,14.191,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,5,4,92000000.0,115.0
Frank McKlusky C.I.,2002.0027397260276,0.0,1.672,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,83.0
Taking Care of Business,1990.6219178082192,39963460.0,4.194,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,17,3,14000000.0,108.0
Tim Burton's The Nightmare Before Chr…,2006.7945205479448,30737517.0,3.075,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,20,4,,
Cocktail,1988.572602739726,160442289.0,4.338,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,29,3,20000000.0,104.0
Gun Shy,2000.0931506849315,2562155.0,0.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,10000000.0,101.0
Mr. Destiny,1990.772602739726,30722056.0,0.988,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,12,4,20000000.0,110.0
Herbie Goes to Monte Carlo,1977.4767123287672,105847527.0,2.31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,24,2,0.0,105.0
Evita,1996.972602739726,92077628.0,2.817,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,25,4,55000000.0,135.0
Dark Water,2005.5150684931507,33500491.0,2.31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,3,30000000.0,105.0
Piglet's Big Movie,2003.2219178082191,32298812.0,0.644,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,21,1,46000000.0,75.0
Kazaam,1996.5397260273971,36009655.0,5.089,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,17,3,20000000.0,93.0
Déjà Vu,2006.8821917808216,82267038.0,10.348,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,22,4,75000000.0,126.0
Waking Sleeping Beauty,2010.235616438356,86264.0,3.075,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,26,1,,
The Count of Monte Cristo,2002.0684931506848,78682079.0,2.16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25,1,35000000.0,131.0
The Program,1993.7232876712328,46919256.0,1.691,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,24,3,0.0,112.0
When in Rome,2010.0794520547945,34917330.0,2.208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,1,55000000.0,91.0
Born Yesterday,1993.235616438356,36165012.0,0.813,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,26,1,0.0,100.0
The Alamo,2004.271232876712,30416359.0,9.634,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,2,145000000.0,137.0
Mad Love,1995.4,29934306.0,0.96,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,26,2,0.0,95.0
Armageddon,1998.495890410959,362324957.0,14.853,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,3,140000000.0,151.0
Air Bud,1997.5780821917808,45266588.0,10.049,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,3,3000000.0,98.0
Fire Birds,1990.3945205479447,29485923.0,0.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,24,2,22000000.0,85.0
The Black Cauldron,1985.558904109589,50553142.0,2.76,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,24,3,25000000.0,80.0
Oz the Great and Powerful,2013.186301369863,243434130.0,10.164,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,1,200000000.0,130.0
Two Much,1996.2054794520548,2057055.0,3.075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,1,,
102 Dalmatians,2000.8821917808216,104055039.0,1.165,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,22,4,85000000.0,100.0
The Pacifier,2005.1753424657531,148619029.0,4.369,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,1,56000000.0,95.0
Prom,2011.3260273972603,10768946.0,1.417,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,29,2,8000000.0,104.0
Un indien dans la ville,1996.2246575342465,1963937.0,3.075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,22,1,,
Annapolis,2006.07397260274,22044113.0,7.808,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,27,1,26000000.0,108.0
The Country Bears,2002.564383561644,24650121.0,1.293,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,26,3,35000000.0,88.0
Planes: Fire and Rescue,2014.5424657534247,61040349.0,3.075,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,18,3,0.0,2.0
Tin Men,1987.1808219178083,54787202.0,4.638,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,1,0.0,112.0
Renaissance Man,1994.419178082192,49945474.0,2.141,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3,2,40000000.0,128.0
