name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime,is_animation
Quiz Show,1994.695890410959,100396056.04635626,18.069,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,14,3,61216632.92847504,133.0,0.0
While You Were Sleeping,1995.304109589041,301647612.2014435,4.334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,21,2,32645242.782152228,103.0,0.0
Bedtime Stories,2008.972602739726,174040548.70459303,4.369,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,25,4,108741633.88341081,99.0,0.0
"The Chronicles of Narnia: The Lion, t…",2005.928767123288,571759967.1072451,3.075,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9,4,,,0.0
Instinct,1999.4219178082192,99418104.08469386,4.334,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,4,2,140530612.24489793,124.0,0.0
Step Up,2006.6054794520549,122053945.24255952,5.127,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,11,3,0.0,104.0,0.0
G.I. Jane,1997.635616438356,161311310.18570092,9.269,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,22,3,91169781.93146417,125.0,0.0
Oscar,1991.317808219178,101379377.04643905,5.852,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,26,2,75205029.36857562,109.0,0.0
The Parent Trap,1998.572602739726,213989456.29377297,2.071,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,29,3,26931441.717791412,128.0,0.0
Primeval,2007.0328767123287,18328238.16115403,1.23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,12,1,0.0,93.0,0.0
The Lone Ranger,2013.4986301369863,116326569.2172375,5.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,3,270096305.32673407,149.0,0.0
"Monsters, Inc.",2001.827397260274,687554467.5338509,6.241,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2,4,190035714.28571427,92.0,0.0
Reign of Fire,2002.1342465753423,101641295.5269872,2.055,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19,1,97605892.16231239,101.0,0.0
Running Brave,1983.8328767123287,9472281.524849396,0.722,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,4,0.0,106.0,0.0
Dinosaur,2000.380821917808,366139931.21472126,1.276,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,19,2,216687064.45993033,82.0,1.0
Rushmore,1998.9342465753425,50976762.91588956,8.961,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,11,4,16158865.030674843,93.0,0.0
Freaky Friday,1977.0575342465756,473597564.37483495,3.075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21,1,,,0.0
The 13th Warrior,1999.6493150684933,95318661.00204082,6.203,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,27,3,281061224.48979586,102.0,0.0
Brave,2012.4712328767123,320313202.09088653,3.86,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,22,2,235812673.67614132,93.0,0.0
Eight Below,2006.128767123288,152478531.79030257,4.268,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,17,1,58066468.25396825,120.0,0.0
Gake no ue no Ponyo,2009.613698630137,23137729.606478132,3.075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,14,3,,,0.0
Queen of Katwe,2016.7205479452052,10821077.35522297,1.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,23,3,18290404.02988246,124.0,0.0
Straight Talk,1992.254794520548,89837275.30420525,1.05,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,0.0,91.0,0.0
Holy Man,1998.764383561644,38951132.67653374,2.215,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,9,4,107725766.87116565,114.0,0.0
The Sorcerer's Apprentice,2010.531506849315,90556286.2006778,4.334,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,14,3,201316404.96019366,109.0,0.0
Stella,1990.0876712328768,89738159.56606734,1.288,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0.0,109.0,0.0
An American Werewolf in Paris,1997.972602739726,88518858.239595,1.182,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,25,4,40114704.04984423,105.0,0.0
The Mighty Ducks,1992.745205479452,215102071.6361368,2.665,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,2,4,20859230.220955092,101.0,0.0
Tall Tale,1995.2301369863012,30692924.762499996,4.214,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,24,1,61449868.7664042,98.0,0.0
Tangled,2010.8876712328768,287732878.3199728,4.426,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,24,4,348948435.26433575,100.0,1.0
Ed Wood,1994.7397260273967,23780951.776450742,11.195,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,30,3,35545141.70040485,127.0,0.0
The Jerky Boys,1995.090410958904,28116312.56204068,0.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0.0,82.0,0.0
The Rich Man's Wife,1996.6931506849317,30374602.762555763,1.201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,13,3,0.0,94.0,0.0
"20,000 Leagues Under the Sea",1954.9671232876717,5747352477.474721,1.87,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,23,4,54396840.14869888,127.0,0.0
Super Mario Bros.,1993.4054794520548,85963726.29058823,1.655,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,2,97214117.64705881,104.0,0.0
The Proposal,2009.4630136986304,251392753.9351953,5.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,19,2,54564946.83900678,108.0,0.0
Race to Witch Mountain,2009.2,102994061.31359623,1.872,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,13,1,68206183.54875848,98.0,0.0
The Adventures of Huck Finn,1993.2520547945203,99402458.06764704,6.323,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,13164411.764705881,108.0,0.0
Jefferson in Paris,1995.2493150684927,9160756.32516404,4.122,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,31,1,26884317.58530183,139.0,0.0
The Jungle Book,2016.2876712328768,443848507.133396,23.544,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,15,2,213388047.01529536,106.0,0.0
Sky High,2005.572602739726,126006265.06589861,3.542,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,29,3,52447132.61648744,100.0,0.0
Toy Story 2,1999.87397260274,710470824.8561224,8.261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19,4,158096938.7755102,92.0,0.0
The Rescuers,1977.4712328767123,771449754.9780527,3.395,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,22,2,5795148.514851484,78.0,1.0
Remember the Titans,2000.7369863013696,307172997.6291812,4.311,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,29,3,50985191.637630664,113.0,0.0
A Lot Like Love,2005.3068493150688,43032043.647132605,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,22,2,44954685.099846385,107.0,0.0
3 Ninjas,1992.5945205479447,122997085.11846043,4.334,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,7,3,13558499.64362081,84.0,0.0
Flight of the Navigator,1986.5753424657532,112637988.30323903,3.327,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,30,3,24031888.686131384,90.0,0.0
America's Heart and Soul,2004.4986301369863,660365.3950767601,0.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,3,0.0,84.0,0.0
Swing Vote,2008.5780821917808,25997189.996679097,0.932,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,3,28544678.894395337,120.0,0.0
The Straight Story,1999.780821917808,17761565.71020408,18.577,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,15,4,17566326.53061224,112.0,0.0
The Kid,2000.5123287671236,185234551.26562136,4.334,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,3,110467915.21486644,104.0,0.0
Enchanted,2007.8794520547945,220292691.2687733,1.165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,21,4,119974124.87580903,107.0,1.0
Zootopia,2016.1753424657531,416128942.56600845,4.426,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,1,182904040.29882458,109.0,1.0
I'll Be Home For Christmas,1998.8575342465756,39395025.67607362,1.572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,13,4,53862883.435582824,86.0,0.0
The War at Home,1996.876712328767,122252.9424155513,19.563,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,20,4,0.0,119.0,0.0
Peter Pan: Return to Neverland,2002.123287671233,114312303.74277374,1.483,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,15,1,32535297.38743746,72.0,0.0
