character,voice-actor,movie,ActorPop
Br'er Rabbit,Johnny Lee,Song of the South,1.4
Br'er Fox,James Baskett,Song of the South,3.058
Br'er Bear,Nick Stewart,Song of the South,4.9
Mickey Mouse,Walt Disney,Steamboat Willie,5.91
Dr. Jacques von Hamsterviel,Jeff Bennett,Stitch! The Movie,8.547
Kit Cloudkicker,R. J. Williams; Alan Roberts,TaleSpin,1.2425
Don Karnage,Jim Cummings,TaleSpin,10.483
Rapunzel,Mandy Moore,Tangled,10.875
Flynn Rider,Zachary Levi,Tangled,19.314
Stabbington Brothers,Ron Perlman,Tangled,14.034
Pascal,Frank Welker,Tangled,17.456
Mother Gothel,Donna Murphy,Tangled,4.348
Hook Hand,Brad Garrett,Tangled,8.878
Maximus,None,Tangled,0.6
Queen,Kari Wahlgren,Tangled Ever After,6.771
Terk,Rosie O'Donnell,Tarzan,3.086
Tarzan,Alex D. Linz,Tarzan,4.738
Tarzan,Tony Goldwyn,Tarzan,9.826
Tantor,Wayne Knight,Tarzan,10.503
Kala,Glenn Close,Tarzan,11.555
Jane Porter,Minnie Driver,Tarzan,9.063
Clayton,Brian Blessed,Tarzan,5.474
Mungo,Jason Marsden,Tarzan,7.942
Archimedes Q. Porter,Nigel Hawthorne,Tarzan,2.922
Kerchak,Lance Henriksen,Tarzan,14.637
Ratty,Claud Allister,The Adventures of Ichabod and Mr. Toad,3.466
Angus MacBadger,Campbell Grant,The Adventures of Ichabod and Mr. Toad,0.6
Winkie the Barman,Oliver Wallace,The Adventures of Ichabod and Mr. Toad,0.874
Headless Horseman,None,The Adventures of Ichabod and Mr. Toad,0.6
Moley,Colin Campbell,The Adventures of Ichabod and Mr. Toad,1.741
Katrina Van Tassel,None,The Adventures of Ichabod and Mr. Toad,0.6
Cyril Proudbottom,J. Pat O'Malley,The Adventures of Ichabod and Mr. Toad,7.005
Ichabod Crane,Pinto Colvig,The Adventures of Ichabod and Mr. Toad,3.267
J. Thaddeus Toad,Eric Blore,The Adventures of Ichabod and Mr. Toad,2.776
Peppo the Italian Cat,Vito Scotti,The Aristocats,3.386
Scat Cat,Scatman Crothers,The Aristocats,7.752
Shun Gon the Chinese Cat,Paul Winchell,The Aristocats,4.283
Roquefort the Mouse,Sterling Holloway,The Aristocats,9.849
Thomas O'Malley,Phil Harris,The Aristocats,5.047
Uncle Waldo,Bill Thompson,The Aristocats,3.863
Toulouse,Gary Dubin,The Aristocats,1.749
Napoleon the Bloodhound,Pat Buttram,The Aristocats,8.077
Abigail Gabble,Monica Evans,The Aristocats,2.009
Marie,Liz English,The Aristocats,1.008
Hit Cat the English Cat,Lord Tim Hudson,The Aristocats,0.659
Madame Adelaide Bonfamille,Hermione Baddeley,The Aristocats,7.441
Amelia Gabble,Carole Shelley,The Aristocats,1.61
Georges Hautecourt,Charles Lane,The Aristocats,4.546
Frou-Frou,Nancy Kulp,The Aristocats,4.671
Edgar Balthazar the Butler,Roddy Maude-Roxby,The Aristocats,5.209
Duchess,Eva Gabor,The Aristocats,6.322
Billy Boss,Thurl Ravenscroft,The Aristocats,4.88
Lafayette the Basset Hound,George Lindsey,The Aristocats,3.319
Berlioz,Dean Clark,The Aristocats,1.4
Orwen,Adele Malis-Morey,The Black Cauldron,1.932
Taran,Grant Bardsley,The Black Cauldron,1.8
Hen Wen,None,The Black Cauldron,0.6
Creeper,Phil Fondacaro,The Black Cauldron,6.061
Orgoch,Billie Hayes,The Black Cauldron,1.4
Princess Eilonwy,Susan Sheridan,The Black Cauldron,2.818
King Eiddileg,Arthur Malet,The Black Cauldron,6.201
Doli,John Byner,The Black Cauldron,4.199
Fflewddur Fflam,Nigel Hawthorne,The Black Cauldron,2.922
The Horned King,John Hurt,The Black Cauldron,16.16
Gurgi,John Byner,The Black Cauldron,4.199
Dallben,Freddie Jones,The Black Cauldron,6.288
Orddu,Eda Reiss Merin,The Black Cauldron,1.577
Pluto,Pinto Colvig; Bill Farmer,The Chain Gang,4.729
Beary Barrington,Haley Joel Osment,The Country Bears,16.639
Dex Barrington,Justin Berfield,The Country Bears,7.71
Big Al,James Gammon,The Country Bears,8.158
Ted Betterhead,Diedrich Bader,The Country Bears,15.296
Kronk Pepikrankenitz,Patrick Warburton,The Emperor's New Groove,17.391
Kuzco,David Spade,The Emperor's New Groove,20.912
Chicha,Wendie Malick,The Emperor's New Groove,13.588
Chaca,Kellyann Kelso,The Emperor's New Groove,3.441
Pacha,John Goodman,The Emperor's New Groove,18.16
Bucky the Squirrel,Bob Bergen,The Emperor's New Groove,5.287
Yzma,Eartha Kitt,The Emperor's New Groove,4.648
Tipo,Eli Russell Linnetz,The Emperor's New Groove,3.52
Boomer,Paul Winchell,The Fox and the Hound,4.283
Amos Slade,Jack Albertson,The Fox and the Hound,5.908
Widow Tweed,Jeanette Nolan,The Fox and the Hound,7.57
Vixey,Sandy Duncan,The Fox and the Hound,3.021
Tod,Keith Coogan; Mickey Rooney,The Fox and the Hound,5.3615
Chief,Pat Buttram,The Fox and the Hound,8.077
Dinky,Richard Bakalyan,The Fox and the Hound,3.162
Squeaks the Caterpillar,None,The Fox and the Hound,0.6
Big Mama,Pearl Bailey,The Fox and the Hound,4.61
Copper,Corey Feldman; Kurt Russell,The Fox and the Hound,13.126
Granny Rose,Vicki Lawrence,The Fox and the Hound 2,4.381
Dixie,Reba McEntire,The Fox and the Hound 2,4.35
Cash,Patrick Swayze,The Fox and the Hound 2,17.069
Lyle,Jeff Foxworthy,The Fox and the Hound 2,2.701
Mrs. Judson,Diana Chesney,The Great Mouse Detective,1.553
Fidget,Candy Candido,The Great Mouse Detective,0.883
Miss Kitty,Melissa Manchester,The Great Mouse Detective,2.019
Toby the Dog,Frank Welker,The Great Mouse Detective,17.456
Dr. David Q. Dawson,Val Bettin,The Great Mouse Detective,1.757
Bartholomew,Barrie Ingham,The Great Mouse Detective,1.807
Queen Mousetoria,Eve Brenner,The Great Mouse Detective,2.136
Olivia Flaversham,Susanne Pollatschek,The Great Mouse Detective,3.352
Basil of Baker Street,Barrie Ingham,The Great Mouse Detective,1.807
Professor Ratigan,Vincent Price,The Great Mouse Detective,10.664
Hiram Flaversham,Alan Young; Alan Young,The Great Mouse Detective,5.032
Lady Mouse,Shani Wallis,The Great Mouse Detective,5.321
Felicia the Cat,Frank Welker,The Great Mouse Detective,17.456
Quasimodo,Tom Hulce,The Hunchback of Notre Dame,8.138
Achilles,None,The Hunchback of Notre Dame,0.6
The Archdeacon,David Ogden Stiers,The Hunchback of Notre Dame,8.746
Hugo,Jason Alexander,The Hunchback of Notre Dame,12.131
Esmeralda,Demi Moore,The Hunchback of Notre Dame,13.38
Judge Claude Frollo,Tony Jay,The Hunchback of Notre Dame,6.836
Djali,None,The Hunchback of Notre Dame,0.6
Captain Phoebus,Kevin Kline,The Hunchback of Notre Dame,9.766
Clopin Trouillefou,Paul Kandel,The Hunchback of Notre Dame,0.6
Victor,Charles Kimbrough,The Hunchback of Notre Dame,4.838
Laverne,Mary Wickes,The Hunchback of Notre Dame,4.596
Sarousch,Michael McKean,The Hunchback of Notre Dame II,10.619
Zephyr,Haley Joel Osment,The Hunchback of Notre Dame II,16.639
Madellaine,Jennifer Love Hewitt,The Hunchback of Notre Dame II,11.435
Lady DeBurne,April Winchell,The Hunchback of Notre Dame II,4.361
Bent-Tail the Coyote,Unknown,The Legend of Coyote Rock,1.467
Timon's Mother,Julie Kavner,The Lion King 1½,13.431
Uncle Max,Jerry Stiller,The Lion King 1½,9.797
Vitani,Lacey Chabert; Jennifer Lien,The Lion King II: Simba's Pride,8.5295
Zira,Suzanne Pleshette,The Lion King II: Simba's Pride,10.67
Nuka,Andy Dick,The Lion King II: Simba's Pride,6.985
Kovu,Ryan O'Donohue; Jason Marsden,The Lion King II: Simba's Pride,5.655
Kiara,Michelle Horn; Neve Campbell,The Lion King II: Simba's Pride,13.8185
Chef Louis,Rene Auberjonois,The Little Mermaid,6.719
Flotsam and Jetsam,Paddi Edwards,The Little Mermaid,2.542
Flounder,Jason Marin,The Little Mermaid,3.902
Carlotta the Maid,Edie McClurg,The Little Mermaid,11.748
King Triton,Kenneth Mars,The Little Mermaid,5.394
Sebastian,Samuel E. Wright,The Little Mermaid,2.088
Scuttle,Buddy Hackett,The Little Mermaid,8.981
Ursula,Pat Carroll,The Little Mermaid,5.228
Vanessa (The Little Mermaid),Pat Carroll; Jodi Benson,The Little Mermaid,4.267
Attina,Kari Wahlgren,The Little Mermaid,6.771
Max the Sheepdog,Frank Welker,The Little Mermaid,17.456
Ariel,Jodi Benson,The Little Mermaid,3.306
Harold the Seahorse,Will Ryan,The Little Mermaid,1.4
Adella,Sherry Lynn,The Little Mermaid,2.736
Alana,Kimmy Robertson,The Little Mermaid,4.92
Aquata,Grey DeLisle; Mona Marshall,The Little Mermaid,5.83
Prince Eric,Christopher Daniel Barnes,The Little Mermaid,4.303
Andrina,Tara Strong,The Little Mermaid,14.56
Grimsby,Ben Wright,The Little Mermaid,2.599
Arista,Kimmy Robertson,The Little Mermaid,4.92
Dash,Stephen Furst,The Little Mermaid II: Return to the Sea,4.599
Tip,Max Casella,The Little Mermaid II: Return to the Sea,10.672
Melody,Tara Strong,The Little Mermaid II: Return to the Sea,14.56
Morgana,Pat Carroll,The Little Mermaid II: Return to the Sea,5.228
Cloak and Dagger,None,The Little Mermaid II: Return to the Sea,0.6
Queen Athena,Lorelei Hill Butters,The Little Mermaid: Ariel's Beginning,2.101
Zarina,Christina Hendricks,The Pirate Fairy,20.758
Horace Horsecollar,Walt Disney; Bill Farmer,The Plow Boy,6.0505
Lil Bad Wolf,Andrew Lawrence,The Porker's Court,12.822
Dr. Facilier,Keith David,The Princess and the Frog,10.199
Cousin Randy,Randy Newman,The Princess and the Frog,2.928
Harvey Fenner,Corey Burton,The Princess and the Frog,9.168
Charlotte La Bouff,Jennifer Cody,The Princess and the Frog,2.137
Buford the Cook,Michael Colyar,The Princess and the Frog,1.4
Tiana,Anika Noni Rose,The Princess and the Frog,13.176
Louis the Alligator,Michael-Leon Wooley,The Princess and the Frog,3.978
Eudora,Oprah Winfrey,The Princess and the Frog,7.741
Mama Odie,Jenifer Lewis,The Princess and the Frog,5.799
Two Fingers,Paul Briggs,The Princess and the Frog,2.229
Marlon the Alligator,Emeril Lagasse,The Princess and the Frog,1.779
Henry Fenner,Jerry Kernion,The Princess and the Frog,2.298
Evangaline,None,The Princess and the Frog,0.6
Lawrence the Valet,Peter Bartlett,The Princess and the Frog,1.29
Ray the Firefly,Jim Cummings,The Princess and the Frog,10.483
Prince Naveen,Bruno Campos,The Princess and the Frog,3.938
Ian the Alligator,Kevin Michael Richardson,The Princess and the Frog,13.643
"Eli ""Big Daddy"" La Bouff",John Goodman,The Princess and the Frog,18.16
Sir Giles,Claud Allister,The Reluctant Dragon,3.466
Tobias the Reluctant Dragon,Barnett Parker,The Reluctant Dragon,1.4
Digger the Mole,Dub Taylor,The Rescuers,7.153
Penny,Michelle Stacy,The Rescuers,4.479
Miss Bianca,Eva Gabor,The Rescuers,6.322
Chair Mouse,Bernard Fox,The Rescuers,3.868
Gramps,Larry Clemmons,The Rescuers,1.78
Orville,Jim Jordan,The Rescuers,0.652
Evinrude,Jimmy MacDonald,The Rescuers,0.6
Brutus and Nero,Candy Candido,The Rescuers,0.883
Luke,Pat Buttram,The Rescuers,8.077
Rufus,John McIntire,The Rescuers,8.037
Ellie Mae,Jeanette Nolan,The Rescuers,7.57
Mr. Snoops,Joe Flynn,The Rescuers,4.798
Madame Medusa,Geraldine Page,The Rescuers,3.763
Nurse Mouse,Russi Taylor,The Rescuers Down Under,4.868
Wilbur,John Candy,The Rescuers Down Under,7.675
Krebbs,Douglas Seale,The Rescuers Down Under,2.927
Cody,Adam Ryen,The Rescuers Down Under,2.376
Marahute,Frank Welker,The Rescuers Down Under,17.456
Doctor Mouse,Bernard Fox,The Rescuers Down Under,3.868
Percival C. McLeach,George C. Scott,The Rescuers Down Under,11.03
Jake,Tristan Rogers,The Rescuers Down Under,1.602
Francois,Ed Gilbert,The Rescuers Down Under,3.703
Faloo,Carla Meyer,The Rescuers Down Under,1.182
Red,Peter Firth,The Rescuers Down Under,7.46
Frank,Wayne Robson,The Rescuers Down Under,6.381
Abis Mal,Jason Alexander,The Return of Jafar,12.131
Dinah the Dachshund,None,The Sleepwalker,0.6
Arthur/Wart,Richard Reitherman,The Sword in the Stone,1.69
Black Bart,Thurl Ravenscroft,The Sword in the Stone,4.88
Arthur/Wart,Rickie Sorensen,The Sword in the Stone,3.325
Merlin,Karl Swenson,The Sword in the Stone,7.9
Arthur/Wart,Robert Reitherman,The Sword in the Stone,0.6
Madam Mim,Martha Wentworth,The Sword in the Stone,5.917
Sir Ector,Sebastian Cabot,The Sword in the Stone,8.309
Sir Kay,Norman Alden,The Sword in the Stone,4.775
Archimedes,Junius Matthews,The Sword in the Stone,1.667
Sir Pellinore,Alan Napier,The Sword in the Stone,7.762
Panchito Pistoles,Joaquin Garay; Carlos Alazraqui,The Three Caballeros,4.795
Aracuan Bird,Pinto Colvig,The Three Caballeros,3.267
Toby Tortoise,Eddie Holden,The Tortoise and the Hare,1.124
Max Hare,Ned Norton,The Tortoise and the Hare,0.694
Tino Tonitini,Jason Marsden,The Weekenders,7.942
Peter Pig,Pinto Colvig,The Wise Little Hen,3.267
Donald Duck,Clarence Nash; Tony Anselmo,The Wise Little Hen,7.949
Grandma Duck,June Foray,"This is Your Life, Donald Duck",5.718
Big Bad Wolf,Billy Bletcher,Three Little Pigs,3.852
Practical Pig,Pinto Colvig,Three Little Pigs,3.267
Fifer Pig,Dorothy Compton,Three Little Pigs,2.259
Fiddler Pig,Mary Moder,Three Little Pigs,2.506
Quint,Corey Burton,Timon and Pumbaa,9.168
Natives,Jeff Bennett,Timon and Pumbaa,8.547
Vulture Police,Townsend Coleman; Brian Cummings,Timon and Pumbaa,1.8135
Boss Beaver,Brad Garrett,Timon and Pumbaa,8.878
Fred,S. Scott Bullock,Timon and Pumbaa,1.697
Smolder the Bear,Jim Cummings,Timon and Pumbaa,10.483
Cheetata and Cheetato,Rob Paulsen; Jim Cummings,Timon and Pumbaa,8.608
Speedy the Snail,Corey Burton,Timon and Pumbaa,9.168
Lizzy Griffths,Lauren Mote,Tinker Bell and the Great Fairy Rescue,0.6
Blaze,None,Tinker Bell and the Lost Treasure,0.6
Captain Amelia,Emma Thompson,Treasure Planet,23.551
Jim Hawkins,Joseph Gordon-Levitt,Treasure Planet,15.084
Mr. Arrow,Roscoe Lee Browne,Treasure Planet,5.728
Scroop,Michael Wincott,Treasure Planet,11.621
Dr. Doppler,David Hyde Pierce,Treasure Planet,8.632
John Silver,Brian Murray,Treasure Planet,3.163
Sarah Hawkins,Laurie Metcalf,Treasure Planet,13.272
B.E.N.,Martin Short,Treasure Planet,7.129
Hands,Micheal McShane,Treasure Planet,4.118
Billy Bones,Patrick McGoohan,Treasure Planet,8.431
Morph,Dane A. Davis,Treasure Planet,1.27
Onus,Corey Burton,Treasure Planet,9.168
Oswald the Lucky Rabbit,Frank Welker,Trolley Troubles,17.456
Wheezy the Weasel,June Foray,Who Framed Roger Rabbit,5.718
Greasy the Weasel,Charles Fleischer,Who Framed Roger Rabbit,5.585
Jessica Rabbit,Kathleen Turner,Who Framed Roger Rabbit,11.222
Psycho the Weasel,Charles Fleischer,Who Framed Roger Rabbit,5.585
Benny the Cab,Charles Fleischer,Who Framed Roger Rabbit,5.585
Baby Herman,Lou Hirsch,Who Framed Roger Rabbit,3.211
Baby Herman,April Winchell,Who Framed Roger Rabbit,4.361
Roger Rabbit,Charles Fleischer,Who Framed Roger Rabbit,5.585
Smarty the Weasel,David Lander,Who Framed Roger Rabbit,2.737
Judge Doom,Christopher Lloyd,Who Framed Roger Rabbit,18.626
Stupid the Weasel,Fred Newman,Who Framed Roger Rabbit,2.052
Tigger,Paul Winchell,Winnie the Pooh and the Blustery Day,4.283
Piglet,John Fiedler,Winnie the Pooh and the Blustery Day,8.049
Winnie the Pooh,Sterling Holloway,Winnie the Pooh and the Honey Tree,9.849
Roo,Clint Howard,Winnie the Pooh and the Honey Tree,13.478
Kanga,Barbara Luddy,Winnie the Pooh and the Honey Tree,4.699
Owl,Hal Smith,Winnie the Pooh and the Honey Tree,8.37
Gopher,Howard Morris; Michael Gough,Winnie the Pooh and the Honey Tree,7.8075
Rabbit,Junius Matthews,Winnie the Pooh and the Honey Tree,1.667
Christopher Robin,Bruce Reitherman,Winnie the Pooh and the Honey Tree,3.263
Eeyore,Ralph Wright,Winnie the Pooh and the Honey Tree,2.384
Wynchel,Adam Carolla,Wreck-It Ralph,5.989
Adorabeezle Winterpop,None,Wreck-It Ralph,0.6
Sergeant Calhoun,Jane Lynch,Wreck-It Ralph,12.551
King Candy/Turbo,Alan Tudyk,Wreck-It Ralph,13.908
Snowanna Rainbeau,None,Wreck-It Ralph,0.6
Sour Bill,Rich Moore,Wreck-It Ralph,4.116
Minty Zaki,None,Wreck-It Ralph,0.6
Duncan,Horatio Sanz,Wreck-It Ralph,5.276
Wreck-It Ralph,John C. Reilly,Wreck-It Ralph,12.67
Crumbelina DiCaramello,Cymbre Walk,Wreck-It Ralph,1.576
Jubileena Bing-Bing,Josie Trinidad,Wreck-It Ralph,5.492
Gloyd Orangeboar,None,Wreck-It Ralph,0.6
Rancis Fluggerbutter,Jamie Elman,Wreck-It Ralph,2.575
"Swizzle ""The Swizz"" Malarkey",None,Wreck-It Ralph,0.6
Taffyta Muttonfudge,Mindy Kaling,Wreck-It Ralph,6.688
Fix-It Felix Jr.,Jack McBrayer,Wreck-It Ralph,11.459
Mr. Litwak,Ed O'Neill,Wreck-It Ralph,14.865
Candlehead,Katie Lowes,Wreck-It Ralph,5.248
Markowski,Joe Lo Truglio,Wreck-It Ralph,5.914
General Hologram,Dennis Haysbert,Wreck-It Ralph,12.003
Vanellope von Schweetz,Sarah Silverman,Wreck-It Ralph,9.276
Duke Weaselton,Alan Tudyk,Zootopia,13.908
Pronk Oryx-Antlerson,Jared Bush,Zootopia,6.511
Chief Bogo,Idris Elba,Zootopia,20.716
Bucky Oryx-Antlerson,Byron Howard,Zootopia,5.836
Bonnie Hopps,Bonnie Hunt,Zootopia,8.43
Mrs. Otterton,Octavia Spencer,Zootopia,10.194
Mr. Big,Maurice LaMarche,Zootopia,11.22
Yax,Tommy Chong,Zootopia,4.022
Judy Hopps,Ginnifer Goodwin,Zootopia,9.556
Woolter the Ram,John DiMaggio,Zootopia,8.606
Doug Ramses,Rich Moore,Zootopia,4.116
Emmitt Otterton,None,Zootopia,0.6
Jesse the Ram,John DiMaggio,Zootopia,8.606
Jerry Jumbeaux Jr.,John DiMaggio,Zootopia,8.606
Mayor Lionheart,J.K. Simmons,Zootopia,20.488
Flash Slothmore,Raymond S. Persi,Zootopia,6.167
"Nicholas ""Nick"" P. Wilde",Jason Bateman,Zootopia,17.166
Stu Hopps,Don Lake,Zootopia,5.8
Assistant Mayor Dawn Bellwether,Jenny Slate,Zootopia,16.819
Benjamin Clawhauser,Nate Torrence,Zootopia,4.88
Gazelle,Shakira,Zootopia,5.724
