,release_date,MovieSuccessLevel,director_pop,ActorsAvg,_is_G,_is_Not Rated,_is_PG,_is_PG-13,_is_R,_is_Action,_is_Adventure,_is_Black Comedy,_is_Comedy,_is_Concert/Performance,_is_Documentary,_is_Drama,_is_Horror,_is_Musical,_is_Romantic Comedy,_is_Thriller/Suspense,_is_Western,IsAnimation
0,2001.126027,C,1.2925,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1994.232877,B,1.52,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2004.252055,C,1.2925,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,2003.972603,D,3.7720000000000002,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1993.435616,B,1.2925,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1993.0753424999998,S,3.314126411,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2001.772603,C,1.2925,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,1998.838356,A,3.7720000000000002,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,2006.342466,A,2.693,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2006.342466,S,3.7720000000000002,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2004.742466,B,1.2925,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2000.586301,B,1.2925,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1997.241096,C,1.2925,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,1993.0753424999998,A,3.7720000000000002,5.509169281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1993.931507,B,3.7720000000000002,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,1993.0753424999998,C,3.314126411,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1993.0753424999998,D,1.2925,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,1996.468493,B,3.308,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1993.0753424999998,C,1.676,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,2006.342466,B,1.928,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2006.191781,B,1.338,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,2004.931507,C,3.7720000000000002,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,2006.342466,B,1.2925,5.509169281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1993.0753424999998,A,3.314126411,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1995.073973,D,1.2925,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1998.876712,A,3.7720000000000002,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1993.0753424999998,B,3.7720000000000002,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,1994.79726,D,1.2925,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2002.580822,A,3.7720000000000002,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1995.750685,C,3.681,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2006.342466,C,1.835,5.509169281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
