name,release_date,MovieSuccessLevel,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,is_animation,budget,runtime
The Many Adventures of Winnie the Pooh,1977.194520547945,1,4.607,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,11,1,0.0,106244389.43894388,74.0
Quiz Show,1994.695890410959,2,14.97,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,14,3,0.0,61216632.92847504,133.0
While You Were Sleeping,1995.304109589041,3,5.697,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,21,2,0.0,32645242.782152228,103.0
Bedtime Stories,2008.972602739726,3,5.991,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,25,4,0.0,108741633.88341081,99.0
"The Chronicles of Narnia: The Lion, t…",2005.928767123288,4,3.237,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9,4,0.0,32966769.073220678,103.0
Instinct,1999.4219178082192,2,5.697,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,4,2,0.0,140530612.24489793,124.0
Step Up,2006.6054794520549,3,3.996,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,11,3,0.0,31936557.539682537,104.0
G.I. Jane,1997.635616438356,3,11.154,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,22,3,0.0,91169781.93146417,125.0
Oscar,1991.317808219178,2,7.69,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,26,2,0.0,75205029.36857562,109.0
The Parent Trap,1998.572602739726,3,3.975,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,29,3,0.0,26931441.717791412,128.0
Primeval,2007.0328767123287,1,0.833,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,12,1,0.0,31052126.43844469,93.0
The Lone Ranger,2013.4986301369863,3,6.319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,3,0.0,270096305.32673407,149.0
"Monsters, Inc.",2001.827397260274,4,8.305,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2,4,0.0,190035714.28571427,92.0
Reign of Fire,2002.1342465753423,2,1.667,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,19,1,0.0,97605892.16231239,101.0
Running Brave,1983.8328767123287,1,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,4,0.0,64642670.68273092,106.0
Dinosaur,2000.380821917808,4,1.271,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,19,2,1.0,216687064.45993033,82.0
Rushmore,1998.9342465753425,2,10.476,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,11,4,0.0,16158865.030674843,93.0
Freaky Friday,1977.057534246576,3,3.237,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21,1,0.0,106244389.43894388,103.0
The 13th Warrior,1999.6493150684933,2,7.105,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,27,3,0.0,281061224.48979586,102.0
Brave,2012.4712328767123,4,1.702,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,22,2,0.0,235812673.67614132,93.0
Eight Below,2006.128767123288,3,4.799,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,17,1,0.0,58066468.25396825,120.0
Gake no ue no Ponyo,2009.613698630137,1,3.237,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,14,3,0.0,30010720.76145373,103.0
Queen of Katwe,2016.7205479452048,1,3.42,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,23,3,0.0,18290404.02988246,124.0
Straight Talk,1992.254794520548,2,1.179,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,0.0,45890306.4861012,91.0
Holy Man,1998.764383561644,2,1.578,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,9,4,0.0,107725766.87116565,114.0
The Sorcerer's Apprentice,2010.531506849315,2,5.697,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,14,3,0.0,201316404.96019366,109.0
Stella,1990.0876712328768,2,1.22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0.0,49260979.34200459,109.0
An American Werewolf in Paris,1997.972602739726,2,2.152,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,12,25,4,0.0,40114704.04984423,105.0
The Mighty Ducks,1992.745205479452,3,1.578,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,2,4,0.0,20859230.220955092,101.0
Tall Tale,1995.2301369863007,1,1.136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,24,1,0.0,61449868.7664042,98.0
Tangled,2010.8876712328768,4,5.956,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,24,4,1.0,348948435.26433575,100.0
Ed Wood,1994.7397260273967,1,11.267,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,30,3,0.0,35545141.70040485,127.0
The Jerky Boys,1995.090410958904,1,0.61,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,3,1,0.0,42246784.77690288,82.0
The Rich Man's Wife,1996.693150684932,1,2.047,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,13,3,0.0,41035117.909496486,94.0
"20,000 Leagues Under the Sea",1954.967123287672,5,1.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,23,4,0.0,54396840.14869888,127.0
Super Mario Bros.,1993.4054794520548,2,1.328,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,2,0.0,97214117.64705881,104.0
The Proposal,2009.4630136986304,3,3.996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,19,2,0.0,54564946.83900678,108.0
